iter	Passed	Remaining
1178	343156	2567413
1179	343423	2566946
1180	343734	2566806
1181	344043	2566646
1182	344317	2566226
1183	344590	2565799
1184	344841	2565213
1185	345128	2564892
1186	345368	2564224
1187	345678	2564071
1188	345997	2563988
1189	346320	2563933
1190	346604	2563589
1191	346904	2563366
1192	347149	2562738
1193	347425	2562332
1194	347676	2561747
1195	347945	2561294
1196	348258	2561172
1197	348541	2560822
1198	348861	2560739
1199	349164	2560539
1200	349434	2560098
1201	349745	2559947
1202	350005	2559436
1203	350306	2559218
1204	350545	2558545
1205	350842	2558296
1206	351197	2558478
1207	351554	2558664
1208	351848	2558392
1209	352071	2557612
1210	352378	2557436
1211	352702	2557386
1212	353080	2557726
1213	353391	2557578
1214	353694	2557372
1215	353980	2557043
1216	354271	2556753
1217	354586	2556629
1218	354879	2556357
1219	355188	2556191
1220	355466	2555809
1221	355792	2555764
1222	356092	2555535
1223	356394	2555324
1224	356700	2555141
1225	356943	2554506
1226	357227	2554159
1227	357519	2553878
1228	357795	2553481
1229	358099	2553281
1230	358362	2552783
1231	358689	2552751
1232	359015	2552710
1233	359331	2552592
1234	359657	2552551
1235	359924	2552087
1236	360299	2552386
1237	360560	2551880
1238	360837	2551491
1239	361070	2550786
1240	361345	2550382
1241	361697	2550518
1242	362013	2550406
1243	362305	2550120
1244	362615	2549959
1245	362927	2549813
1246	363186	2549295
1247	363516	2549277
1248	363875	2549460
1249	364182	2549279
1250	364500	2549171
1251	364872	2549441
1252	365240	2549689
1253	365532	2549401
1254	365810	2549017
1255	366194	2549369
1256	366509	2549237
1257	366820	2549083
1258	367080	2548571
1259	367361	2548206
1260	367642	2547838
1261	367959	2547727
1262	368294	2547738
1263	368579	2547397
1264	368919	2547440
1265	369288	2547684
1266	369669	2548007
1267	369930	2547502
1268	370240	2547333
1269	370533	2547055
1270	370819	2546719
1271	371181	2546912
1272	371573	2547305
1273	371868	2547034
1274	372167	2546791
1275	372516	2546889
1276	372793	2546498
1277	373111	2546385
1278	373396	2546045
1279	373689	2545759
1280	373963	2545346
1281	374316	2545467
1282	374624	2545286
1283	374906	2544928
1284	375267	2545101
1285	375638	2545344
1286	375908	2544901
1287	376215	2544710
1288	376549	2544700
1289	376841	2544412
1290	377197	2544546
1291	377540	2544597
1292	377799	2544085
1293	378064	2543610
1294	378348	2543260
1295	378650	2543037
1296	378933	2542684
1297	379265	2542656
1298	379530	2542180
1299	379843	2542032
1300	380172	2541985
1301	380447	2541578
1302	380744	2541314
1303	381061	2541190
1304	381364	2540966
1305	381624	2540462
1306	381895	2540025
1307	382187	2539736
1308	382457	2539298
1309	382779	2539201
1310	383156	2539474
1311	383474	2539351
1312	383817	2539392
1313	384103	2539057
1314	384397	2538779
1315	384660	2538291
1316	384990	2538250
1317	385326	2538244
1318	385628	2538015
1319	385889	2537517
1320	386224	2537500
1321	386494	2537064
1322	386872	2537336
1323	387157	2536989
1324	387560	2537425
1325	387811	2536862
1326	388172	2537016
1327	388493	2536911
1328	388826	2536883
1329	389097	2536447
1330	389391	2536163
1331	389646	2535624
1332	389994	2535694
1333	390271	2535304
1334	390588	2535170
1335	390868	2534794
1336	391100	2534109
1337	391389	2533796
1338	391671	2533434
1339	392063	2533783
1340	392337	2533369
1341	392659	2533271
1342	392975	2533128
1343	393316	2533148
1344	393595	2532763
1345	393839	2532161
1346	394131	2531865
1347	394392	2531369
1348	394661	2530921
1349	394908	2530341
1350	395202	2530056
1351	395579	2530302
1352	395851	2529880
1353	396148	2529615
1354	396436	2529293
1355	396810	2529519
1356	397102	2529224
1357	397476	2529449
1358	397748	2529025
1359	398100	2529110
1360	398408	2528910
1361	398708	2528669
1362	398972	2528190
1363	399295	2528088
1364	399555	2527588
1365	399857	2527355
1366	400127	2526919
1367	400491	2527077
1368	400859	2527259
1369	401188	2527196
1370	401492	2526969
1371	401885	2527308
1372	402222	2527290
1373	402555	2527251
1374	402897	2527266
1375	403184	2526937
1376	403470	2526595
1377	403728	2526085
1378	404011	2525733
1379	404288	2525340
1380	404596	2525140
1381	404970	2525353
1382	405304	2525312
1383	405655	2525380
1384	405997	2525390
1385	406329	2525339
1386	406668	2525334
1387	407000	2525279
1388	407268	2524829
1389	407584	2524677
1390	407908	2524572
1391	408206	2524310
1392	408517	2524125
1393	408772	2523597
1394	409073	2523351
1395	409368	2523068
1396	409724	2523161
1397	410094	2523345
1398	410448	2523419
1399	410786	2523402
1400	411099	2523229
1401	411464	2523373
1402	411785	2523251
1403	412185	2523610
1404	412474	2523286
1405	412816	2523290
1406	413151	2523251
1407	413408	2522733
1408	413703	2522444
1409	414003	2522189
1410	414284	2521822
1411	414624	2521807
1412	414912	2521481
1413	415235	2521364
1414	415576	2521359
1415	415896	2521224
1416	416193	2520949
1417	416500	2520740
1418	416840	2520727
1419	417161	2520598
1420	417549	2520868
1421	417822	2520449
1422	418075	2519910
1423	418410	2519864
1424	418740	2519791
1425	419056	2519629
1426	419369	2519451
1427	419661	2519141
1428	420033	2519320
1429	420317	2518967
1430	420658	2518953
1431	420969	2518763
1432	421290	2518628
1433	421604	2518456
1434	421932	2518366
1435	422226	2518068
1436	422602	2518264
1437	422933	2518191
1438	423271	2518159
1439	423556	2517810
1440	423898	2517798
1441	424202	2517561
1442	424532	2517482
1443	424808	2517076
1444	425153	2517084
1445	425422	2516639
1446	425686	2516171
1447	425964	2515776
1448	426244	2515398
1449	426527	2515043
1450	426810	2514679
1451	427102	2514371
1452	427366	2513901
1453	427717	2513945
1454	428080	2514055
1455	428409	2513964
1456	428707	2513689
1457	429002	2513400
1458	429284	2513034
1459	429569	2512688
1460	429870	2512434
1461	430252	2512650
1462	430615	2512756
1463	430893	2512369
1464	431200	2512146
1465	431502	2511896
1466	431839	2511849
1467	432123	2511495
1468	432509	2511736
1469	432844	2511676
1470	433186	2511655
1471	433552	2511778
1472	433891	2511737
1473	434235	2511729
1474	434512	2511336
1475	434809	2511053
1476	435084	2510647
1477	435383	2510376
1478	435760	2510556
1479	436029	2510116
1480	436377	2510127
1481	436736	2510201
1482	437072	2510145
1483	437482	2510510
1484	437761	2510127
1485	438041	2509748
1486	438342	2509490
1487	438697	2509539
1488	439022	2509418
1489	439413	2509670
1490	439724	2509465
1491	440110	2509694
1492	440477	2509804
1493	440808	2509714
